Plot,DBH_Pre,Status,Decay.Class,year,decay_post,consumed,Burn
bc1,14,2,1,2002,1,0,First Burn
bc1,6.1,2,1,2002,1,0,First Burn
bc1,6,2,1,2002,1,0,First Burn
bc1,102.1,2,1,2002,1,0,First Burn
bc1,23.2,2,1,2002,1,0,First Burn
bc1,6.1,2,1,2002,1,0,First Burn
bc1,169.8,2,1,2002,1,0,First Burn
bc1,18.2,2,1,2002,1,0,First Burn
bc1,5.7,2,1,2002,1,0,First Burn
bc1,10.6,2,1,2002,1,0,First Burn
bc1,12.2,2,1,2002,1,0,First Burn
bc1,10.5,2,1,2002,1,0,First Burn
bc1,11,2,1,2002,1,0,First Burn
bc1,11.8,2,1,2002,1,0,First Burn
bc1,17.8,2,1,2002,1,0,First Burn
bc1,17,2,1,2002,1,0,First Burn
bc1,12.5,2,1,2002,1,0,First Burn
bc1,16.7,2,1,2002,1,0,First Burn
bc1,13.9,2,1,2002,1,0,First Burn
bc1,9.1,2,1,2002,1,0,First Burn
bc1,22.4,2,1,2002,1,0,First Burn
bc1,6.2,2,1,2002,1,0,First Burn
bc1,6.5,2,1,2002,1,0,First Burn
bc1,12.8,2,1,2002,1,0,First Burn
bc1,8.5,2,1,2002,1,0,First Burn
bc1,17.4,2,1,2002,1,0,First Burn
bc1,16.2,2,1,2002,1,0,First Burn
bc1,5.8,2,1,2002,1,0,First Burn
bc1,8.5,2,1,2002,1,0,First Burn
bc1,8.5,2,1,2002,1,0,First Burn
bc1,7.1,2,1,2002,1,0,First Burn
bc1,8.8,2,1,2002,1,0,First Burn
bc1,16.6,2,1,2002,1,0,First Burn
bc1,9.7,2,1,2002,1,0,First Burn
bc1,10.2,2,1,2002,1,0,First Burn
bc1,8.2,2,1,2002,1,0,First Burn
bc1,8.3,2,1,2002,1,0,First Burn
bc1,9.8,2,1,2002,1,0,First Burn
bc1,10,2,1,2002,1,0,First Burn
bc1,7.4,2,1,2002,1,0,First Burn
bc1,8.2,2,1,2002,1,0,First Burn
bc1,7.2,2,1,2002,1,0,First Burn
bc1,5.5,2,1,2002,1,0,First Burn
bc1,8.2,2,1,2002,1,0,First Burn
bc1,22,2,1,2002,1,0,First Burn
bc1,10,2,1,2002,1,0,First Burn
bc1,13.6,2,1,2002,1,0,First Burn
bc2,7,2,1,2002,1,0,First Burn
bc2,11,2,1,2002,1,0,First Burn
bc2,21,2,1,2002,1,0,First Burn
bc2,7,2,1,2002,1,0,First Burn
bc2,14,2,1,2002,1,0,First Burn
bc2,18,2,1,2002,1,0,First Burn
bc2,15,2,1,2002,1,0,First Burn
bc2,5,2,1,2002,1,0,First Burn
bc2,18,2,1,2002,1,0,First Burn
bc2,15,2,1,2002,1,0,First Burn
bc2,9,2,1,2002,1,0,First Burn
bc2,6,2,1,2002,1,0,First Burn
bc3,155,2,1,2002,1,0,First Burn
bc3,14,2,1,2002,1,0,First Burn
bc3,24,2,1,2002,1,0,First Burn
bc3,13,2,1,2002,1,0,First Burn
bc3,10,2,1,2002,1,0,First Burn
bc3,6,2,1,2002,1,0,First Burn
bc3,14,2,1,2002,1,0,First Burn
bc3,10,2,1,2002,1,0,First Burn
bc3,7,2,1,2002,1,0,First Burn
bn2,70,2,1,2002,1,0,First Burn
bn2,77,2,1,2002,1,0,First Burn
bn2,78,2,1,2002,1,0,First Burn
bn2,17,2,1,2002,1,0,First Burn
bn3,20,2,1,2002,1,0,First Burn
bs1,11.1,2,1,2002,1,0,First Burn
bs1,12.3,2,1,2002,1,0,First Burn
bs1,9.1,2,1,2002,1,0,First Burn
bs1,17.5,2,1,2002,1,0,First Burn
bs1,16.8,2,1,2002,1,0,First Burn
bs1,58.6,2,1,2002,1,0,First Burn
bs1,10.2,2,1,2002,1,0,First Burn
bs1,51.3,2,1,2002,1,0,First Burn
bs1,29.4,2,1,2002,1,0,First Burn
bs1,19.2,2,1,2002,1,0,First Burn
bs2,114.8,2,1,2002,1,0,First Burn
bs2,5.8,2,1,2002,1,0,First Burn
bs2,8,2,1,2002,1,0,First Burn
bs2,31.8,2,1,2002,1,0,First Burn
bs2,13.2,2,1,2002,1,0,First Burn
bs2,19.9,2,1,2002,1,0,First Burn
bs3,15,2,1,2002,1,0,First Burn
bs3,12,2,1,2002,1,0,First Burn
bs3,9,2,1,2002,1,0,First Burn
bs3,7,2,1,2002,1,0,First Burn
bc1,37,2,1,2002,1,0,First Burn
bc1,59.9,2,1,2002,1,0,First Burn
bc1,37,2,1,2002,1,0,First Burn
bc1,49.2,2,1,2002,1,0,First Burn
bc1,43.8,2,1,2002,1,0,First Burn
bc1,30.5,2,1,2002,1,0,First Burn
bc1,77.8,2,1,2002,1,0,First Burn
bc1,36.2,2,1,2002,1,0,First Burn
bc1,81.2,2,1,2002,1,0,First Burn
bc1,22.3,2,1,2002,1,0,First Burn
bc1,131.8,2,1,2002,1,0,First Burn
bc1,20.8,2,1,2002,1,0,First Burn
bc1,13.7,2,1,2002,1,0,First Burn
bc1,7.7,2,1,2002,1,0,First Burn
bc1,19.8,2,1,2002,1,0,First Burn
bc1,29.5,2,1,2002,1,0,First Burn
