Plot,DBH_11,DC_2011,Species_2017,DBH_17,Status_2017,DC_2017,Species_2018,DBH_18,Status_2018,DC_2018,DBH_19,Status_2019,DC_2019
bc1,22.1,,abco,39.9,1,,abco,34.4,2,1,34.3,2,1
bc1,31.2,,abco,35.9,1,,abco,37.9,2,1,37.8,2,1
bc1,88.4,,abco,94.4,2,1,abco,91.6,2,1,91.7,2,1
bc1,19.6,,abco,20.8,1,,abco,22.2,1,,22,1,
bc1,24.7,,abco,27.3,1,,abco,28.3,1,,28.6,1,
bc1,81,,abco,82.5,2,1,abco,82.3,2,2,82.5,2,2
bc1,60.3,,abma,100.1,2,1,abma,99.3,2,1,98.9,2,3
bc1,21.9,,abco,23.4,1,,abco,24.3,1,,25,1,
bc1,84.2,,abco,86.9,1,,abco,88,1,,88,1,
bc1,164.8,,abco,165,1,,abco,167.3,1,,165.8,1,
bc1,31.1,,abco,34.6,2,1,abco,34.6,2,1,36,2,1
bc1,23.3,,abco,27.5,1,,abco,29,1,,29.3,1,
bc1,14.4,,abco,15.4,1,,abco,16,2,1,15.9,2,1
bc1,24.2,,abco,28.2,2,1,abco,27.7,2,1,27.5,2,1
bc1,91.3,,abco,94.2,2,1,abco,96.5,2,2,96,2,2
bc1,31,,abma,34.2,1,,abma,34.8,1,,35.8,1,
bc1,92.3,,abco,92.1,2,2,abco,92.6,2,2,94.1,2,2
bc1,51.1,,abco,50.8,2,1,abco,51.2,2,1,52.6,2,1
bc1,48.9,3,abco,40.2,2,4,abco,49.2,2,5,51.3,2,5
bc1,105.6,,abco,108.4,2,2,abco,107.3,2,2,106.6,2,2
bc1,53.2,,abco,55.6,2,1,abco,56.8,2,1,57.4,2,1
bc1,15.3,,abco,18.4,1,,abco,17.6,1,,17.6,1,
bc1,29.4,,abco,31.6,1,,abco,33.3,1,,34.1,1,
bc1,14.3,,abco,14.4,2,1,abco,15.7,2,1,14.4,2,1
bc1,28.1,,abco,31.3,1,,abco,33.6,1,,33.7,1,
bc1,22.5,,abco,24.5,1,,abco,26.1,1,,25.2,2,1
bc1,107.5,,abco,113.2,2,1,abco,111.5,2,2,109.6,2,2
bc1,18.1,,abco,18.7,2,1,abco,20,2,1,19.8,2,1
bc1,29.4,,abco,33.2,2,1,abco,35.8,2,1,34.1,2,2
bc1,25.3,,abco,29.2,1,,abco,30.5,1,,30.3,1,
bc1,23.3,,abco,25.2,1,,abco,26.3,1,,26.8,1,
bc1,23.7,,abma,26.5,1,,abma,28,1,,28.3,1,
bc1,12.2,,abma,14.4,1,,abma,15.3,1,,15.9,1,
bc1,25.7,,abco,32.8,1,,abco,35.2,1,,36,1,
bc1,27.3,,abco,29.4,1,,abco,30.6,2,1,32,2,1
bc1,23.4,,abco,23.9,2,2,abco,25.8,2,2,25.6,2,2
bc1,30.7,,abco,39.1,1,,,,,,,,
bc1,13.6,,abco,18.8,1,,abco,19.7,1,,20.3,1,
bc1,123.1,,abco,124.4,2,1,abco,123.9,2,2,124,2,2
bc1,15.3,,abco,17,1,,abco,17.5,1,,18.1,1,
bc1,29.5,,abco,37.2,1,,abco,37.2,1,,37,1,
bc1,22.5,,abco,28.2,1,,abco,29.6,1,,31,1,
bc1,17.5,,abco,19.4,1,,abco,22.5,1,,20.5,1,
bc1,109.1,,abco,110,2,1,abco,109.1,2,2,108.7,2,2
bc1,120.1,,abco,119,1,,abco,121.1,2,2,120.6,2,2
bc1,80.1,,abco,81.9,1,,abco,82.3,1,,81.9,1,
bc1,40.5,,abco,41.8,2,2,abco,41,2,2,42.7,2,2
bc1,80.9,,abco,82.7,2,2,abco,80.7,2,2,82.3,2,2
bc1,27.8,,abco,31.5,1,,abco,31.2,1,,31.1,1,
bc1,28,,abco,32,1,,abco,32.9,1,,33.2,1,
bc1,9.9,,abco,11.1,1,,abco,9.9,2,1,10.8,2,1
bc1,58.4,,abco,59.9,1,,abco,62,1,,61,1,
bc1,38.1,,abco,41.8,1,,abco,42.5,2,1,42.1,2,1
bc1,28.9,,abco,33.5,1,,abco,35.4,1,,35.4,1,
bc1,28.4,,abco,31.6,1,,abco,32.3,1,,32.1,1,
bc1,13.8,,abco,15.3,1,,abco,15.7,1,,15.5,1,
bc1,61.4,,abco,64.1,1,,abco,65.6,1,,65.6,1,
bc1,14.2,,abco,17.5,1,,abco,17.4,1,,17.4,1,
bc1,105.3,,abco,104.5,2,1,abco,105.3,2,1,105.6,2,1
bc1,47.4,,abco,47.1,2,1,abco,48.2,2,2,47.9,2,2
bc1,86.3,,abco,89,2,1,abco,88,2,1,87.1,2,1
bc1,29,,abco,32.9,1,,abco,33.2,1,,33,1,
bc1,36.2,,abco,41.2,2,1,abco,40.3,2,1,39,2,1
bc1,13.8,,abco,16.7,2,1,abco,16.5,2,1,16,2,1
bc1,16.3,,abco,26.1,1,,abco,21.2,1,,20.7,1,
bc1,15.7,,abco,16.9,2,1,abco,19.6,2,1,17,2,1
bc1,110.8,,abco,116,2,2,abco,113.9,2,2,112.9,2,2
bc1,29.1,,abco,35.6,2,1,abco,36.7,2,1,36.5,2,1
bc1,63.9,,abco,65,2,1,abco,64.6,2,1,64.8,2,1
bc1,21.6,,abco,21.7,2,1,abco,24.8,2,1,24.8,2,1
bc1,83.2,,abco,88.2,2,1,abco,86.9,2,2,85.2,2,2
bc1,40.4,,abco,43,1,,abco,45.1,1,,45.1,1,
bc1,19.5,,abco,20.2,1,,abco,22,1,,20.9,2,1
bc1,12.5,,abco,19.3,1,,abco,16.1,2,1,15,2,1
bc1,13.3,,abco,14.9,1,,abco,16,2,1,15.5,2,1
bc1,9.4,,abco,10.5,1,,abco,10.5,2,1,10.5,2,1
bc1,22,,abco,28,1,,abco,25.8,1,,29.8,1,
bc1,53,,abco,57.1,2,1,abco,55.4,2,1,54.9,2,1
bc1,18.5,,abco,17,2,2,abco,17,2,2,18.6,2,2
bc1,10.1,,abco,11.2,1,,abco,11.8,2,1,11.6,2,1
bc2,33.8,,abco,39.1,2,1,abco,38,2,1,38.5,2,1
bc2,19.8,,abco,26,1,,abco,25.9,1,,27.6,1,
bc2,13.8,,abco,16.2,1,,abco,17.9,2,1,17.1,2,1
bc2,18.7,,abco,20.7,1,,abco,21.9,2,1,21.7,2,1
bc2,20.8,,abco,25.6,1,,abco,23.2,2,1,23,2,1
bc2,18.2,,abco,22,1,,abco,23.1,1,,24.2,1,
bc2,31.4,,abco,33,2,1,abco,31.1,2,3,31.2,2,3
bc2,32.5,,abco,35.6,2,1,abco,34.7,2,2,35.3,2,2
bc2,27.2,,abco,30,2,1,,,,,,,
bc2,10.3,,abco,12,2,1,abco,12,2,2,12.3,2,2
bc2,20.3,,abco,24,1,,abco,24.6,1,,25,1,
