Plot,carbon_mg_ha_08,Treatment,rsd,Stability_Treatment,order,Basal.Area
bc1,143.5763846,bc,17.22738856,7.048387629,4,51.73621692
bc2,137.3837622,bc,17.22738856,7.262839782,4,48.87140681
bc3,160.0578781,bc,17.22738856,8.906345737,4,47.8420975
bn1,137.6090201,bn,16.44041252,7.394992383,2,55.27022672
bn2,136.5345411,bn,16.44041252,7.66030648,2,68.45087766
bn3,161.3289853,bn,16.44041252,9.409702527,2,65.98189506
bs1,36.33195623,bs,17.50663026,1.714362666,6,24.31672479
bs2,77.79434972,bs,17.50663026,3.960290115,6,30.37260808
bs3,51.52957059,bs,17.50663026,2.750413942,6,27.39130724
uc1,249.010541,uc,35.79344539,6.465410926,3,62.51898688
uc2,198.059142,uc,35.79344539,4.730679872,3,46.41063218
uc3,193.6973658,uc,35.79344539,4.404711173,3,52.44379538
un1,190.4313722,un,36.25105089,5.048070423,1,62.85668694
un2,122.8553985,un,36.25105089,3.142557938,1,56.29214248
un3,201.0081543,un,36.25105089,5.134259741,1,74.69094964
us1,73.90781785,us,12.91758075,5.652800956,5,25.83983534
us2,102.8358919,us,12.91758075,7.943549238,5,35.70513086
us3,88.40739735,us,12.91758075,6.750465713,5,33.3169802
