Plot,DBH_11,DC_2011,Status_2011,DBH_17,Status_2017,DC_2017,Treatment,Treatment_Title,count,DDD,Growing.Space
un2,104,,1,104.8,1,,un,Control,1,0,106.3
un2,17,,1,18.8,1,,un,Control,1,0,4.695
uc1,6.2,,1,8,1,,uc,Understory Thin Only,1,0,67.055
uc1,17.1,,1,21.5,1,,uc,Understory Thin Only,1,0,13.569
uc1,23.6,,1,27.8,1,,uc,Understory Thin Only,1,0,14.034
uc1,6.4,,1,8.9,1,,uc,Understory Thin Only,1,0,19.157
uc1,111.5,,1,112.9,1,,uc,Understory Thin Only,1,0,170.209
uc1,97,,1,96.8,1,,uc,Understory Thin Only,1,0,64.517
uc1,9.4,,1,11.2,1,,uc,Understory Thin Only,1,0,8.88
uc1,122.3,,1,122.1,2,1,uc,Understory Thin Only,1,1,26.634
uc1,9.7,,1,10.9,1,,uc,Understory Thin Only,1,0,61.353
uc1,10,,1,12,2,1,uc,Understory Thin Only,1,1,20.443
uc1,9.6,,1,10.6,2,1,uc,Understory Thin Only,1,1,13.281
us1,16.3,,1,18.1,2,1,us,Overstory Thin Only,1,1,35.545
uc1,134.9,,1,134.4,2,4,uc,Understory Thin Only,1,1,149.957
uc1,103.1,,1,104.6,1,,uc,Understory Thin Only,1,0,47.158
us1,64.2,,1,65.8,1,,us,Overstory Thin Only,1,0,14.61
us1,12.1,,1,14.4,1,,us,Overstory Thin Only,1,0,66.55
uc1,16.8,,1,19.9,1,,uc,Understory Thin Only,1,0,33.979
uc1,125,,1,126,1,,uc,Understory Thin Only,1,0,156.671
uc1,16.3,,1,18.9,1,,uc,Understory Thin Only,1,0,16.812
us1,30.8,,1,34.9,1,,us,Overstory Thin Only,1,0,41.24
us1,17.3,,1,15.7,1,,us,Overstory Thin Only,1,0,10.361
uc1,15.5,,1,20.9,1,,uc,Understory Thin Only,1,0,157.995
uc1,17.7,,1,18.7,1,,uc,Understory Thin Only,1,0,58.258
us1,8.1,,1,9.2,1,,us,Overstory Thin Only,1,0,8.027
uc1,18.1,,1,19.9,1,,uc,Understory Thin Only,1,0,56.803
us1,20.2,,1,21.4,2,1,us,Overstory Thin Only,1,1,16.997
us1,19,,1,23.6,1,,us,Overstory Thin Only,1,0,85.554
us1,30.4,,1,35.4,1,,us,Overstory Thin Only,1,0,36.187
un2,55.7,,1,59.8,1,,un,Control,1,0,16.833
un2,51,,1,53.5,1,,un,Control,1,0,5.739
un2,64.6,,1,64.5,1,,un,Control,1,0,3.608
un2,15.8,,1,19.2,1,,un,Control,1,0,98.785
un2,115.4,,1,113.3,2,2,un,Control,1,1,6.618
un2,20,,1,20.5,1,,un,Control,1,0,5.154
un2,8.3,,1,9.1,2,1,un,Control,1,1,4.974
un2,21.5,,1,23,1,,un,Control,1,0,2.172
un2,5.9,,1,7.4,1,,un,Control,1,0,38.796
un2,29.1,,1,31,1,,un,Control,1,0,28.6
un2,17.1,,1,20,1,,un,Control,1,0,5.979
un2,30.6,,1,32.7,1,,un,Control,1,0,7.901
un2,7.3,,1,8.6,2,1,un,Control,1,1,5.011
un2,6.6,,1,7.9,2,1,un,Control,1,1,11.508
un2,9.6,,1,12.5,1,,un,Control,1,0,4.751
un2,49.5,,1,49.4,1,,un,Control,1,0,7.301
un2,29.2,,1,23.9,2,5,un,Control,1,1,0.499
un2,76.4,,1,75.7,2,2,un,Control,1,1,96.394
