Plot,year,fuel_type,biomass,carbon,Treatment
bc1,2004,Dead,115.5041041,57.75205207,bc
bc2,2004,Dead,105.099598,52.54979902,bc
bc3,2004,Dead,107.7364822,53.86824109,bc
bn1,2004,Dead,48.50783946,24.25391973,bn
bn2,2004,Dead,101.7897518,50.89487589,bn
bn3,2004,Dead,89.11719984,44.55859992,bn
bs1,2004,Dead,73.60923992,36.80461996,bs
bs2,2004,Dead,72.54891812,36.27445906,bs
bs3,2004,Dead,75.8012372,37.9006186,bs
uc1,2004,Dead,155.2359023,77.61795117,uc
uc2,2004,Dead,71.43441368,35.71720684,uc
uc3,2004,Dead,102.3595013,51.17975067,uc
un1,2004,Dead,107.8812352,53.94061762,un
un2,2004,Dead,82.07308214,41.03654107,un
un3,2004,Dead,163.1077269,81.55386345,un
us1,2004,Dead,54.62934138,27.31467069,us
us2,2004,Dead,101.2416747,50.62083737,us
us3,2004,Dead,95.58374878,47.79187439,us
bc1,2004,Live,373.6970284,186.8485142,bc
bc2,2004,Live,321.2877634,160.6438817,bc
bc3,2004,Live,357.5987362,178.7993681,bc
bn1,2004,Live,438.101618,219.050809,bn
bn2,2004,Live,495.6320512,247.8160256,bn
bn3,2004,Live,505.298754,252.649377,bn
bs1,2004,Live,124.7124369,62.35621846,bs
bs2,2004,Live,200.2679166,100.1339583,bs
bs3,2004,Live,156.6309599,78.31547995,bs
uc1,2004,Live,514.3751518,257.1875759,uc
uc2,2004,Live,355.5428486,177.7714243,uc
uc3,2004,Live,410.9065376,205.4532688,uc
un1,2004,Live,503.1283694,251.5641847,un
un2,2004,Live,392.593183,196.2965915,un
un3,2004,Live,547.2125674,273.6062837,un
us1,2004,Live,184.5060708,92.25303541,us
us2,2004,Live,251.0672698,125.5336349,us
us3,2004,Live,214.2694288,107.1347144,us
bc1,2011,CWD,21.04481625,10.52240813,bc
bc2,2011,CWD,47.80419718,23.90209859,bc
bc3,2011,CWD,32.64428183,16.32214092,bc
bn1,2011,CWD,14.3735324,7.1867662,bn
bn2,2011,CWD,22.32221814,11.16110907,bn
bn3,2011,CWD,49.0697571,24.53487855,bn
bs1,2011,CWD,21.0784331,10.53921655,bs
bs2,2011,CWD,36.61492238,18.30746119,bs
bs3,2011,CWD,13.43655964,6.71827982,bs
uc1,2011,CWD,34.93515212,17.46757606,uc
uc2,2011,CWD,27.99578466,13.99789233,uc
uc3,2011,CWD,54.17953816,27.08976908,uc
un1,2011,CWD,62.59762836,31.29881418,un
un2,2011,CWD,24.80123517,12.40061759,un
un3,2011,CWD,60.62346514,30.31173257,un
us1,2011,CWD,20.0499863,10.02499315,us
us2,2011,CWD,69.76505456,34.88252728,us
us3,2011,CWD,33.61743848,16.80871924,us
bc1,2011,FWD,6.856892228,3.428446114,bc
bc2,2011,FWD,6.554690446,3.277345223,bc
bc3,2011,FWD,6.548521573,3.274260787,bc
bn1,2011,FWD,6.079071105,3.039535553,bn
bn2,2011,FWD,6.780844039,3.39042202,bn
bn3,2011,FWD,5.520867024,2.760433512,bn
bs1,2011,FWD,4.271782637,2.135891319,bs
bs2,2011,FWD,4.533479976,2.266739988,bs
bs3,2011,FWD,5.813543819,2.90677191,bs
uc1,2011,FWD,9.029287873,4.514643937,uc
uc2,2011,FWD,10.8607535,5.43037675,uc
uc3,2011,FWD,9.621967551,4.810983776,uc
un1,2011,FWD,7.077326138,3.538663069,un
un2,2011,FWD,6.053060267,3.026530134,un
un3,2011,FWD,8.851983337,4.425991669,un
us1,2011,FWD,8.253060191,4.126530096,us
us2,2011,FWD,9.768452109,4.884226055,us
us3,2011,FWD,8.012684499,4.00634225,us
bc1,2011,Litter,4.444262963,1.644377296,bc
bc2,2011,Litter,2.016902778,0.746254028,bc
bc3,2011,Litter,6.836238889,2.529408389,bc
bn1,2011,Litter,5.203845061,1.925422673,bn
bn2,2011,Litter,5.892658642,2.180283698,bn
bn3,2011,Litter,2.948688272,1.091014661,bn
bs1,2011,Litter,3.734218827,1.381660966,bs
bs2,2011,Litter,1.98623642,0.734907475,bs
bs3,2011,Litter,2.618435185,0.968821018,bs
uc1,2011,Litter,6.840956791,2.531154013,uc
uc2,2011,Litter,4.482006173,1.658342284,uc
uc3,2011,Litter,5.803018518,2.147116852,uc
un1,2011,Litter,6.536652161,2.4185613,un
un2,2011,Litter,3.790833642,1.402608448,un
un3,2011,Litter,4.605397436,1.703997051,un
us1,2011,Litter,3.750731481,1.387770648,us
