Plot,DBH_11,DC_2011,DBH_17,Status_2017,DC_2017,sizeclass,Died,Treatment,ddd,fell,Carbon,carbon_mg_ha
bc1,14.9,0,16.4,2,1,1,Drought,bc,1,0,0.039246104,0.009811526
bc1,88.4,0,94.4,2,1,5,Drought,bc,1,0,3.233997445,0.808499361
bc1,105.1,0,105.1,2,2,6,Drought,bc,1,0,4.967386768,1.241846692
bc1,26.4,0,26.7,2,2,2,Drought,bc,1,0,0.161704433,0.040426108
bc1,10.1,0,11.5,2,2,1,Drought,bc,1,0,0.015011949,0.003752987
bc1,110.6,0,110.5,2,3,6,Drought,bc,1,0,5.637327755,1.409331939
bc1,81,0,82.5,2,1,5,Drought,bc,1,0,2.603631687,0.650907922
bc1,60.3,0,100.1,2,1,4,Drought,bc,1,0,1.25244001,0.313110002
bc1,88.2,0,90.8,2,1,5,Drought,bc,1,0,3.215881628,0.803970407
bc1,20.2,0,21.6,2,3,2,Drought,bc,1,0,0.08333852,0.02083463
bc1,4.8,0,4.9,2,2,1,Drought,bc,1,0,0.002402502,0.000600625
bc1,9.1,0,8.8,2,4,1,Drought,bc,1,0,0.011605205,0.002901301
bc1,8.2,0,8.9,2,1,1,Drought,bc,1,0,0.008975629,0.002243907
bc1,8.5,0,8.6,2,1,1,Drought,bc,1,0,0.009807505,0.002451876
bc1,25.7,0,28.9,2,1,2,Drought,bc,1,0,0.151291477,0.037822869
bc1,4.9,0,6.5,2,1,1,Drought,bc,1,0,0.002527246,0.000631812
bc1,8.4,0,11,2,1,1,Drought,bc,1,0,0.009525317,0.002381329
bc1,7.6,0,8.1,2,1,1,Drought,bc,1,0,0.007442034,0.001860508
bc1,13.3,0,15.6,2,1,1,Drought,bc,1,0,0.029634362,0.00740859
bc1,12.1,0,14.7,2,1,1,Drought,bc,1,0,0.023457481,0.00586437
bc1,21.7,0,25.7,2,1,2,Drought,bc,1,0,0.099509183,0.024877296
bc1,10.3,0,11.4,2,1,1,Drought,bc,1,0,0.015756775,0.003939194
bc1,8.7,0,9.8,2,1,1,Drought,bc,1,0,0.010386711,0.002596678
bc1,31.1,0,34.6,2,1,2,Drought,bc,1,0,0.242660447,0.060665112
bc1,21.9,0,25.1,2,1,2,Drought,bc,1,0,0.101795485,0.025448871
bc1,31.6,0,33.6,2,1,2,Drought,bc,1,0,0.252441707,0.063110427
bc1,24.2,0,28.2,2,1,2,Drought,bc,1,0,0.13035528,0.03258882
bc1,95.8,0,97.2,2,1,5,Drought,bc,1,0,3.947568013,0.986892003
bc1,95.7,0,97,2,3,5,Drought,bc,1,0,3.937355927,0.984338982
bc1,89.8,0,89.9,2,2,5,Drought,bc,1,0,3.362513891,0.840628473
bc1,91.3,0,94.2,2,1,5,Drought,bc,1,0,3.503541017,0.875885254
bc1,94.2,0,94.4,2,3,5,Drought,bc,1,0,3.786064755,0.946516189
bc1,92.3,0,92.1,2,2,5,Drought,bc,1,0,3.599486714,0.899871679
bc1,51.1,0,50.8,2,1,3,Drought,bc,1,0,0.830813111,0.207703278
bc1,84.7,0,84.6,2,3,5,Drought,bc,1,0,2.908624659,0.727156165
bc1,105.6,0,105.1,2,2,6,Drought,bc,1,0,5.026207201,1.2565518
bc1,105.6,0,108.4,2,2,6,Drought,bc,1,0,5.026207201,1.2565518
bc1,53.2,0,55.6,2,1,3,Drought,bc,1,0,0.918049228,0.229512307
bc1,18.6,0,19.1,2,1,1,Drought,bc,1,0,0.067941392,0.016985348
bc1,10.3,0,11.2,2,1,1,Drought,bc,1,0,0.015756775,0.003939194
bc1,26.5,0,29.4,2,1,2,Drought,bc,1,0,0.163225868,0.040806467
bc1,86.4,0,91.3,2,1,5,Drought,bc,1,0,3.055563722,0.76389093
bc1,23.8,0,23.3,2,2,2,Drought,bc,1,0,0.125084247,0.031271062
bc1,83.4,0,85,2,2,5,Drought,bc,1,0,2.799164683,0.699791171
bc1,27.6,0,30,2,1,2,Drought,bc,1,0,0.180526951,0.045131738
bc1,75.8,0,75.4,2,3,4,Drought,bc,1,0,2.208607092,0.552151773
bc1,26.1,0,30.1,2,1,2,Drought,bc,1,0,0.157191058,0.039297764
bc1,13.4,0,14.5,2,1,1,Drought,bc,1,0,0.030188314,0.007547078
bc1,94.7,0,94.7,2,2,5,Drought,bc,1,0,3.836102102,0.959025525
bc1,87.6,0,92,2,1,5,Drought,bc,1,0,3.161898234,0.790474558
bc1,16.6,0,17,2,1,1,Drought,bc,1,0,0.05127126,0.012817815
bc1,14.3,0,14.4,2,1,1,Drought,bc,1,0,0.035452638,0.00886316
bc1,104.5,0,109.3,2,2,6,Drought,bc,1,0,4.897347199,1.2243368
bc1,136.6,0,124,2,4,6,Drought,bc,1,0,5.287559896,1.321889974
bc1,107.5,0,113.2,2,1,6,Drought,bc,1,0,5.253507137,1.313376784
bc1,7.3,0,7,2,1,1,Drought,bc,1,0,0.006738757,0.001684689
bc1,18.1,0,18.7,2,1,1,Drought,bc,1,0,0.063510397,0.015877599
bc1,29.4,0,33.2,2,1,2,Drought,bc,1,0,0.211112869,0.052778217
bc1,31.3,0,31.5,2,3,2,Drought,bc,1,0,0.246545268,0.061636317
bc1,9.4,0,9.9,2,1,1,Drought,bc,1,0,0.012572503,0.003143126
bc1,8.5,0,9.7,2,1,1,Drought,bc,1,0,0.009807505,0.002451876
bc1,29.9,0,34.8,2,1,2,Drought,bc,1,0,0.220119885,0.055029971
bc1,134.8,0,128.1,2,3,6,Drought,bc,1,0,7.352178735,1.838044684
bc1,27,0,29.5,2,4,2,Drought,bc,1,0,0.17096106,0.042740265
bc1,105.2,0,107.3,2,1,6,Drought,bc,1,0,4.02109833,1.005274583
bc1,7.8,0,8.7,2,1,1,Drought,bc,1,0,0.007934217,0.001983554
bc1,185.4,0,186.5,2,2,6,Drought,bc,1,0,15.97178064,3.992945159
bc1,21.5,0,20.1,2,2,2,Drought,bc,1,0,0.097253819,0.024313455
bc1,32.6,0,37.9,2,1,2,Drought,bc,1,0,0.272700895,0.068175224
bc1,163.1,0,167.9,2,2,6,Drought,bc,1,0,11.69159996,2.922899991
bc1,18.4,0,18.3,2,2,1,Drought,bc,1,0,0.066147577,0.016536894
bc1,22.1,0,22.5,2,1,2,Drought,bc,1,0,0.104112861,0.026028215
bc1,25.8,0,26,2,3,2,Drought,bc,1,0,0.152753749,0.038188437
bc1,131,0,114.2,2,2,6,Drought,bc,1,0,8.578786647,2.144696662
bc1,41.5,0,43.7,2,1,3,Drought,bc,1,0,0.495998557,0.123999639
bc1,30.3,0,35.8,2,1,2,Drought,bc,1,0,0.227487815,0.056871954
bc1,20.3,0,24.1,2,1,2,Drought,bc,1,0,0.084363596,0.021090899
bc1,34.2,0,38,2,2,2,Drought,bc,1,0,0.307077605,0.076769401
bc1,12.6,0,15.4,2,1,1,Drought,bc,1,0,0.025926658,0.006481665
bc1,23.4,0,23.9,2,2,2,Drought,bc,1,0,0.119942581,0.029985645
bc1,24.7,0,21.5,2,2,2,Drought,bc,1,0,0.137127576,0.034281894
bc1,17.9,0,17.9,2,4,1,Drought,bc,1,0,0.061787754,0.015446939
