Treatment,year,fuel_type,carbon,std,order,proportion,totalcarbon
bc,2017,CWD,27.56405786,8.752010061,c,0.116277226,237.0546559
bc,2017,Dead,80.00413821,36.2430058,b,0.337492372,237.0546559
bc,2017,FWD,3.193851801,0.658260542,d,0.013473061,237.0546559
bc,2017,Litter,2.011249159,0.306363547,f,0.008484327,237.0546559
bc,2017,Live,124.1994735,21.69671251,a,0.523927586,237.0546559
bc,2017,Shrub,0.081885341,0,e,0.000345428,237.0546559
bn,2017,CWD,27.71953381,11.68570266,c,0.085513369,324.1543871
bn,2017,Dead,122.6471862,23.17740425,b,0.378360408,324.1543871
bn,2017,FWD,3.535690723,1.215979423,d,0.010907428,324.1543871
bn,2017,Litter,2.131697178,0.369675009,f,0.006576179,324.1543871
bn,2017,Live,168.0886485,16.42754797,a,0.518545037,324.1543871
bn,2017,Shrub,0.031630653,0,e,9.76E-05,324.1543871
bs,2017,CWD,24.40864582,2.834575325,c,0.188718027,129.3392382
bs,2017,Dead,48.86281113,9.086419516,b,0.377787992,129.3392382
bs,2017,FWD,2.651790514,0.73343119,d,0.020502599,129.3392382
bs,2017,Litter,1.164621783,0.153628088,f,0.009004396,129.3392382
bs,2017,Live,52.14182029,22.41247877,a,0.403139998,129.3392382
bs,2017,Shrub,0.1095487,0,e,0.000846987,129.3392382
uc,2017,CWD,33.20617269,9.846187895,c,0.107813077,307.9976346
uc,2017,Dead,110.0281683,28.3415467,b,0.357237056,307.9976346
uc,2017,FWD,5.016030347,0.750456395,d,0.016285938,307.9976346
uc,2017,Litter,1.854433986,0.29342878,f,0.006020936,307.9976346
uc,2017,Live,157.8348973,47.07862541,a,0.512454901,307.9976346
uc,2017,Shrub,0.057932009,0,e,0.000188092,307.9976346
un,2017,CWD,29.44151617,22.21472004,c,0.086393425,340.7842207
un,2017,Dead,110.2531795,16.42129853,b,0.32352783,340.7842207
un,2017,FWD,3.503525772,0.485677095,d,0.010280775,340.7842207
un,2017,Litter,2.070667496,0.621444193,f,0.006076184,340.7842207
un,2017,Live,195.486074,42.39321501,a,0.573635932,340.7842207
un,2017,Shrub,0.029257729,0,e,8.59E-05,340.7842207
us,2017,CWD,28.15842001,13.16698395,c,0.154877658,181.8107301
us,2017,Dead,45.93843014,3.941907205,b,0.252671721,181.8107301
us,2017,FWD,4.0809963,0.581531671,d,0.0224464,181.8107301
us,2017,Litter,1.545167697,0.37157732,f,0.008498771,181.8107301
us,2017,Live,102.0203047,17.68030493,a,0.561134674,181.8107301
us,2017,Shrub,0.067411254,0,e,0.000370777,181.8107301
bc,2018,CWD,9.428648915,3.486627743,c,0.051834819,181.8979815
bc,2018,Dead,64.29265815,25.24057219,b,0.353454489,181.8979815
bc,2018,FWD,2.461462845,0.860143687,d,0.013532106,181.8979815
bc,2018,Litter,0.841681443,0.575554538,f,0.004627217,181.8979815
bc,2018,Live,104.8107427,10.8149089,a,0.576206189,181.8979815
bc,2018,Shrub,0.062787414,0,e,0.000345179,181.8979815
bc,2019,CWD,10.54108018,5.342695824,c,0.057719869,182.6248102
bc,2019,Dead,68.451839,23.27538883,b,0.374822232,182.6248102
bc,2019,FWD,4.094769523,3.357668408,d,0.022421759,182.6248102
bc,2019,Litter,1.571933923,0.953125993,f,0.00860745,182.6248102
bc,2019,Live,97.93849552,7.810955605,a,0.536282531,182.6248102
bc,2019,Shrub,0.026692044,0,e,0.000146158,182.6248102
bn,2018,CWD,10.29282284,4.843095857,c,0.036324219,283.359784
bn,2018,Dead,112.5720741,21.21269113,b,0.397276115,283.359784
bn,2018,FWD,2.96733803,0.149242256,d,0.01047198,283.359784
bn,2018,Litter,0.759055267,0.400374574,f,0.002678769,283.359784
bn,2018,Live,156.749522,17.57951553,a,0.553181965,283.359784
bn,2018,Shrub,0.01897174,0,e,6.70E-05,283.359784
bn,2019,CWD,10.45972505,3.816522336,c,0.037185425,281.2856094
bn,2019,Dead,118.2577518,18.49809434,b,0.420418777,281.2856094
bn,2019,FWD,3.361810449,0.22407774,d,0.011951591,281.2856094
bn,2019,Litter,1.507054918,0.457724917,f,0.005357739,281.2856094
bn,2019,Live,147.693991,18.88228987,a,0.525067711,281.2856094
bn,2019,Shrub,0.005276196,0,e,1.88E-05,281.2856094
bs,2018,CWD,15.30011708,5.752292846,c,0.142016328,107.7349151
bs,2018,Dead,42.18399804,8.996775387,b,0.391553639,107.7349151
bs,2018,FWD,2.465380006,0.741463643,d,0.022883761,107.7349151
bs,2018,Litter,0.899868892,0.462474101,f,0.008352621,107.7349151
bs,2018,Live,46.80884731,19.13555307,a,0.434481684,107.7349151
bs,2018,Shrub,0.076703752,0,e,0.000711967,107.7349151
bs,2019,CWD,21.66024725,9.122085157,c,0.195519102,110.783279
bs,2019,Dead,39.92461295,10.55217595,b,0.360384828,110.783279
bs,2019,FWD,2.952254187,1.813578137,d,0.026648915,110.783279
bs,2019,Litter,1.318818522,0.667713523,f,0.011904491,110.783279
bs,2019,Live,44.90065803,17.50316316,a,0.405301761,110.783279
bs,2019,Shrub,0.02668803,0,e,0.000240903,110.783279
bc,2004,CWD,8.971835333,3.247218583,c,0.03608332,248.6421798
bc,2004,Dead,54.72336406,2.704493607,b,0.22008882,248.6421798
bc,2004,FWD,5.089726667,1.230838688,d,0.020470085,248.6421798
bc,2004,Litter,4.4,0.251661148,f,0.017696113,248.6421798
bc,2004,Live,175.430588,13.42319636,a,0.705554416,248.6421798
bc,2004,Shrub,0.02666569,0,e,0.000107245,248.6421798
bc,2011,CWD,16.91554921,6.709555071,c,0.073356718,230.5930488
bc,2011,Dead,50.43623396,14.32901955,b,0.218724,230.5930488
bc,2011,FWD,3.326684041,0.088142033,d,0.014426645,230.5930488
bc,2011,Litter,1.640013238,0.891585191,f,0.007112154,230.5930488
bc,2011,Live,158.1892842,18.10414177,a,0.686010637,230.5930488
bc,2011,Shrub,0.085284124,0,e,0.000369847,230.5930488
bn,2004,CWD,9.422385,1.342398123,c,0.031611018,298.0728071
bn,2004,Dead,39.90246518,13.91742898,b,0.133868183,298.0728071
bn,2004,FWD,4.164805667,0.552126946,d,0.013972444,298.0728071
bn,2004,Litter,4.7,0.152752523,f,0.01576796,298.0728071
bn,2004,Live,239.8387372,18.16435495,a,0.80463139,298.0728071
bn,2004,Shrub,0.044414063,0,e,0.000149004,298.0728071
bn,2011,CWD,14.29425127,9.088546945,c,0.046595809,306.7711817
bn,2011,Dead,46.08839011,7.055901277,b,0.150237026,306.7711817
bn,2011,FWD,3.063463695,0.315675145,d,0.009986152,306.7711817
bn,2011,Litter,1.732240344,0.569751102,f,0.005646685,306.7711817
bn,2011,Live,241.5507578,17.0750177,a,0.787397162,306.7711817
bn,2011,Shrub,0.042078489,0,e,0.000137166,306.7711817
bs,2004,CWD,8.371682333,5.782357074,c,0.063623645,131.5813056
bs,2004,Dead,36.99323254,0.829324871,b,0.281143528,131.5813056
