"Treatment","year","fuel_type","carbon","Standard.Deviation"
"bc","2004","CWD",8.97183533333333,3.24721858285154
"bn","2004","CWD",9.422385,1.34239812295347
"bs","2004","CWD",8.37168233333333,5.78235707352429
"uc","2004","CWD",20.2954866666667,4.94044421307774
"un","2004","CWD",27.5609566666667,8.32882358067653
"us","2004","CWD",17.5960533333333,3.37508947203379
"bc","2011","CWD",16.9155492133333,6.70955507118776
"bn","2011","CWD",14.2942512733333,9.08854694529257
"bs","2011","CWD",11.8549858533333,5.90556668334077
"uc","2011","CWD",19.51841249,6.78260692921674
"un","2011","CWD",24.6703881133333,10.6373884975423
"us","2011","CWD",20.57207989,12.8489849129223
"bc","2017","CWD",27.56405786,8.7520100609805
"bn","2017","CWD",27.7195338133333,11.6857026629801
"bs","2017","CWD",24.40864582,2.83457532453737
"uc","2017","CWD",33.20617269,9.84618789483745
"un","2017","CWD",29.4415161666667,22.2147200369234
"us","2017","CWD",28.1584200166667,13.166983953025
"bc","2018","CWD",9.428648915,3.48662774336186
"bn","2018","CWD",10.292822835,4.84309585680098
"bs","2018","CWD",15.30011708,5.75229284593286
"uc","2018","CWD",33.6079148066667,8.52788041877386
"un","2018","CWD",28.14178796,23.78046598467
"us","2018","CWD",29.8730147033333,15.9955966441648
"bc","2019","CWD",10.54108018,5.3426958235791
"bn","2019","CWD",10.4597250483333,3.81652233560347
"bs","2019","CWD",21.66024725,9.12208515667471
"uc","2019","CWD",32.7609153466667,7.00454240343849
"un","2019","CWD",25.79641854,24.6372822414344
"us","2019","CWD",30.47764242,18.9103082582184
"bc","2004","Dead",54.72336406,2.70449360683748
"bn","2004","Dead",39.90246518,13.917428976558
"bs","2004","Dead",36.99323254,0.829324870834071
"uc","2004","Dead",54.8383028933333,21.1886018210299
"un","2004","Dead",58.8436740466667,20.6988725527146
"us","2004","Dead",41.9091274833333,12.7180731522078
"bc","2011","Dead",50.4362339633333,14.3290195458499
"bn","2011","Dead",46.0883901133333,7.05590127720168
"bs","2011","Dead",28.7525150966667,2.6840780845971
"uc","2011","Dead",46.19325766,12.0642993720821
"un","2011","Dead",43.4183860866667,17.1491095682148
"us","2011","Dead",31.4020100233333,11.9481744758794
"bc","2017","Dead",80.0041382066667,36.2430058046203
"bn","2017","Dead",122.647186166667,23.1774042454179
"bs","2017","Dead",48.86281113,9.08641951577009
"uc","2017","Dead",110.02816834,28.3415466989891
"un","2017","Dead",110.2531795,16.4212985322906
"us","2017","Dead",45.9384301433333,3.94190720489511
"bc","2018","Dead",64.2926581466667,25.2405721865367
"bn","2018","Dead",112.572074116667,21.2126911276941
"bs","2018","Dead",42.18399804,8.99677538731152
"uc","2018","Dead",110.02816834,28.3415466989891
"un","2018","Dead",110.2531795,16.4212985322906
"us","2018","Dead",45.9384301433333,3.94190720489511
"bc","2019","Dead",68.451839,23.2753888252221
"bn","2019","Dead",118.257751833333,18.4980943360858
"bs","2019","Dead",39.9246129533333,10.5521759507565
"uc","2019","Dead",110.02816834,28.3415466989891
"un","2019","Dead",110.2531795,16.4212985322906
